id,group,abbr,url,criterion,act_rule,rule_name,element_n,selector_or_description,applicable,outcome,measured_value,programmatic_context,evaluator_code,date,capture,notes,dialog_state
96,ecuador,IAEN,https://www.iaen.edu.ec/,1.4.3,afw4f7,Text has minimum contrast,1,html > body.home > a.hfe-skip-link,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",sin CMP detectada
96,ecuador,IAEN,https://www.iaen.edu.ec/,1.4.3,afw4f7,Text has minimum contrast,2,div.hfeed > header > p.main-title > a,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",sin CMP detectada
96,ecuador,IAEN,https://www.iaen.edu.ec/,1.4.3,afw4f7,Text has minimum contrast,3,div.elementor-social-icons-wrapper > span.elementor-grid-item > a.elementor-icon > span.elementor-screen-only,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",sin CMP detectada
96,ecuador,IAEN,https://www.iaen.edu.ec/,1.4.3,afw4f7,Text has minimum contrast,4,div.elementor-social-icons-wrapper > span.elementor-grid-item > a.elementor-icon > span.elementor-screen-only,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",sin CMP detectada
96,ecuador,IAEN,https://www.iaen.edu.ec/,1.4.3,afw4f7,Text has minimum contrast,5,div.elementor-social-icons-wrapper > span.elementor-grid-item > a.elementor-icon > span.elementor-screen-only,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",sin CMP detectada
96,ecuador,IAEN,https://www.iaen.edu.ec/,1.4.3,afw4f7,Text has minimum contrast,6,div.elementor-social-icons-wrapper > span.elementor-grid-item > a.elementor-icon > span.elementor-screen-only,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",sin CMP detectada
96,ecuador,IAEN,https://www.iaen.edu.ec/,1.4.3,afw4f7,Text has minimum contrast,7,div.elementor-social-icons-wrapper > span.elementor-grid-item > a.elementor-icon > span.elementor-screen-only,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",sin CMP detectada
96,ecuador,IAEN,https://www.iaen.edu.ec/,1.4.3,afw4f7,Text has minimum contrast,8,div.elementor-social-icons-wrapper > span.elementor-grid-item > a.elementor-icon > span.elementor-screen-only,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",sin CMP detectada
96,ecuador,IAEN,https://www.iaen.edu.ec/,1.4.3,afw4f7,Text has minimum contrast,9,nav.elementor-nav-menu--main > ul.elementor-nav-menu > li.menu-item > a.elementor-item,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",sin CMP detectada
96,ecuador,IAEN,https://www.iaen.edu.ec/,1.4.3,afw4f7,Text has minimum contrast,10,nav.elementor-nav-menu--main > ul.elementor-nav-menu > li.menu-item > a.elementor-item,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",sin CMP detectada
96,ecuador,IAEN,https://www.iaen.edu.ec/,1.4.3,afw4f7,Text has minimum contrast,11,nav.elementor-nav-menu--main > ul.elementor-nav-menu > li.menu-item > a.elementor-item,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",sin CMP detectada
96,ecuador,IAEN,https://www.iaen.edu.ec/,1.4.3,afw4f7,Text has minimum contrast,12,nav.elementor-nav-menu--dropdown > ul.elementor-nav-menu > li.menu-item > a.elementor-item,no,,,,R02,2026-09-08,,"No es un caracter visible: la regla no aplica. Texto oculto visualmente, de tamano cero o desplazado fuera de pantalla.",sin CMP detectada
