id,vantage,run,red,grupo,sigla,pais,url,ok,error,title,lang,viewport,https,cookies_pre,rastreo_pre,rastreo_pre_ext,nombres_rastreo_ext,cmp,banner,consent_default,consent_default_region,regiones,uet_consent,clarity_consent,ax_violaciones,ax_nodos,elementos,nodos_totales,nodos_por_mil_elementos,nivelA_nodos,nivelAA_nodos,nivelAAA_nodos,Perceptible,Operable,Comprensible,Robusto,max_nivel_sin_fallo_auto,incompletos,incompletos_nodos,n_dominios_terceros,prov_emitida_sin_cookie,prov_no_emitida,servidor,cdn,cms,fecha
1,GB,3,centro_datos,mundo,MIT,US,https://www.mit.edu,true,,MIT - Massachusetts Institute of Technology,en,1,1,0,0,0,,,0,0,0,,0,0,3,8,379,948,21.11,1,6,1,1,6,0,1,ninguno,4,23,3,Google Tag Manager,,Apache,,Drupal,2026-08-16T12:45:24.320Z
2,GB,3,centro_datos,mundo,Stanford,US,https://www.stanford.edu,true,,Stanford University,en,1,1,10,4,8,YSC VISITOR_INFO1_LIVE VISITOR_PRIVACY_METADATA __Secure-YNID __Secure-ROLLOUT_TOKEN _ga_Q0JD4PHRZ7 _ga _cs_id,,0,0,0,,0,0,1,11,1370,1820,8.03,0,0,11,11,0,0,0,AA,1,2,12,Google Ads ContentSquare Google Tag Manager Google Analytics,,Netlify,,,2026-08-16T12:45:32.934Z
3,GB,3,centro_datos,mundo,Harvard,US,https://www.harvard.edu,true,,Harvard University,en-US,1,1,8,5,5,_ga_KBLBYHG5EP _ga _gid _gat_UA-2923555-1 _fbp,,0,0,0,,0,0,2,13,1140,2835,11.4,0,3,10,13,0,0,0,A,2,42,17,Google Ads Google Analytics Meta Google Tag Manager,,nginx,,WordPress,2026-08-16T12:45:42.259Z
4,GB,3,centro_datos,mundo,Oxford,GB,https://www.ox.ac.uk,true,,University of Oxford,en,1,1,6,2,5,__Secure-YNID YSC VISITOR_INFO1_LIVE VISITOR_PRIVACY_METADATA __Secure-ROLLOUT_TOKEN,,1,0,0,,0,0,2,367,2165,5829,169.52,166,201,0,0,201,0,166,ninguno,3,33,9,Google Tag Manager Google Analytics Google Ads,,cloudflare,Cloudflare,generator: Drupal 11 (https://www.drupal.org) Drupal,2026-08-16T12:45:50.895Z
5,GB,3,centro_datos,mundo,Cambridge,GB,https://www.cam.ac.uk,true,,University of Cambridge,en,1,1,0,0,0,,,1,0,0,,0,0,2,6,529,1356,11.34,5,0,1,6,0,0,0,ninguno,2,8,9,Google Tag Manager Google Analytics,,nginx,Fastly/Varnish,generator: Drupal 10 (https://www.drupal.org) Drupal,2026-08-16T12:45:59.576Z
6,GB,3,centro_datos,mundo,Caltech,US,https://www.caltech.edu,true,,Home - www.caltech.edu,en,1,1,4,2,2,_ga_7RL83EX4D4 _ga,,0,0,0,,0,0,4,30,4319,10084,6.95,5,0,25,28,0,0,2,ninguno,3,42,8,Google Tag Manager,,cloudflare,Cloudflare,Joomla,2026-08-16T12:46:09.155Z
7,GB,3,centro_datos,mundo,UC Berkeley,US,https://www.berkeley.edu,true,,"University of California, Berkeley: Home",en-US,1,1,10,5,8,__Secure-YNID YSC VISITOR_INFO1_LIVE VISITOR_PRIVACY_METADATA __Secure-ROLLOUT_TOKEN nmstat _ga_JD06GX6S4V _ga,,0,0,0,,0,0,0,0,585,1599,0,0,0,0,0,0,0,0,AAA,2,2,11,Siteimprove Google Tag Manager Google Analytics Google Ads,,cloudflare,Cloudflare,WordPress,2026-08-16T12:46:17.410Z
8,GB,3,centro_datos,mundo,Princeton,US,https://www.princeton.edu,true,,Home | Princeton University,en,1,1,2,2,2,_ga_92L6B9PQCG _ga,,0,0,0,,0,0,0,0,1092,2347,0,0,0,0,0,0,0,0,AAA,2,29,4,Google Tag Manager Google Analytics,,cloudflare,Cloudflare Fastly/Varnish,generator: Drupal 10 (https://www.drupal.org) Drupal,2026-08-16T12:46:26.432Z
9,GB,3,centro_datos,mundo,Imperial,GB,https://www.imperial.ac.uk,true,,Imperial College London,en-GB,1,1,6,0,0,,OneTrust,1,0,0,,0,0,2,19,798,1719,23.81,0,15,4,4,15,0,0,A,3,27,9,Google Tag Manager Google Ads Google Analytics,,Microsoft-IIS/10.0,CloudFront,,2026-08-16T12:46:38.521Z
10,GB,3,centro_datos,mundo,U Chicago,US,https://www.uchicago.edu,true,,The University of Chicago,en,1,1,19,9,9,_ga_2V4M4Z833J _ga _gid _gat_UA-373360-31 _gat_UA-3572058-26 _ga_DBDWJCS0JR nmstat _hjSessionUser_3545609 _hjSession_3545609,,0,0,0,,0,0,1,1,934,1232,1.07,1,0,0,0,0,0,1,ninguno,6,26,15,Google Analytics Google Tag Manager Hotjar Siteimprove,,,Azure,,2026-08-16T12:46:49.999Z
